SITE_ID,SITE_NAME,COUNTRY,STATE,IGBP,TOWER_BEGAN,TOWER_END,URL_AMERIFLUX,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,CLIMATE_KOEPPEN,MAT,MAP,DATA_POLICY,DATA_START,DATA_END
US-GZ3,"Genesee, ID On-farm site Zone 3",USA,WA,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-GZ3,46.4949,-116.8019,713.0,Csb,11.4,294.1,LEGACY,-2147483648,-2147483648
US-Ha1,Harvard Forest EMS Tower (HFR1),USA,MA,DBF,1991,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ha1,42.5378,-72.1715,340.0,Dfb,6.62,1071.0,CCBY4.0,1991,2023
US-Ha2,Harvard Forest Hemlock Site,USA,MA,ENF,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ha2,42.5393,-72.1779,360.0,Dfb,6.56,1071.0,CCBY4.0,2004,2023
US-HB1,North Inlet Crab Haul Creek,USA,SC,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-HB1,33.3455,-79.1957,0.1,Cfa,18.3,1429.0,CCBY4.0,2019,2022
US-HB2,Hobcaw Barony Mature Longleaf Pine,USA,SC,ENF,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-HB2,33.3242,-79.244,4.7,Cfa,18.3,1429.0,CCBY4.0,2019,2019
US-HB3,Hobcaw Barony Longleaf Pine Restoration,USA,SC,ENF,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-HB3,33.3482,-79.2322,7.3,Cfa,18.3,1429.0,CCBY4.0,2019,2022
US-HB4,Minim Creek Brackish Impoundment,USA,SC,WET,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-HB4,33.2015,-79.2975,1.0,Cfa,18.3,1429.0,LEGACY,2022,2022
US-HBK,Hubbard Brook Experimental Forest,USA,NH,DBF,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-HBK,43.9397,-71.7181,367.0,Dfb,6.0,1400.0,CCBY4.0,2016,2022
US-Hn1,Hanford 300 Area,USA,WA,OSH,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Hn1,46.4089,-119.275,118.58,Bsk,12.8,197.0,CCBY4.0,-2147483648,-2147483648
US-Hn2,Hanford 100H grassland,USA,WA,GRA,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Hn2,46.6889,-119.4641,117.5,Bsk,12.8,197.0,CCBY4.0,2015,2018
US-Hn3,Hanford 100H sagebrush,USA,WA,OSH,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Hn3,46.6878,-119.4614,120.9,Bsk,12.8,197.0,CCBY4.0,2017,2018
US-Ho1,Howland Forest (main tower),USA,ME,ENF,1996,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ho1,45.2041,-68.7402,60.0,Dfb,5.27,1070.0,CCBY4.0,1996,2023
US-Ho2,Howland Forest (west tower),USA,ME,ENF,1999,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ho2,45.2091,-68.747,61.0,Dfb,5.13,1064.0,CCBY4.0,1999,2023
US-Ho3,Howland Forest (harvest site),USA,ME,ENF,2000,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ho3,45.2072,-68.725,61.0,Dfb,5.31,1072.0,CCBY4.0,2003,2009
US-HPY,Hawk Property,USA,NJ,WET,2012,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-HPY,40.7692,-74.0853,1.0,Cfa,11.5,1120.0,LEGACY,-2147483648,-2147483648
US-HRA,Humnoke Farm Rice Field – Field A,USA,AR,CRO,2015,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-HRA,34.5852,-91.7517,,Cfa,16.7,1250.0,CCBY4.0,2015,2017
US-HRC,Humnoke Farm Rice Field – Field C,USA,AR,CRO,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-HRC,34.5888,-91.7517,,Cfa,16.7,1250.0,CCBY4.0,2015,2017
US-HRN,Humnoke Carr North Rice Field,USA,AR,CRO,2019,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-HRN,34.5955,-91.7132,61.0,Cfa,16.7,1250.0,LEGACY,-2147483648,-2147483648
US-HRP,Herring River Phragmites,USA,MA,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-HRP,41.938,-70.0552,0.5,Dfb,9.9,1195.0,CCBY4.0,-2147483648,-2147483648
US-HRS,Humnoke Carr South Rice Field,USA,AR,CRO,2017,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-HRS,34.5922,-91.7138,61.0,Cfa,16.78,1250.3,LEGACY,-2147483648,-2147483648
US-Hsm,Hill Slough Marsh,USA,CA,WET,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Hsm,38.2368,-122.0212,1.113,Csa,15.6,450.0,CCBY4.0,2021,2023
US-HVa,Happy Valley,USA,AK,WET,1994,1995,https://ameriflux.lbl.gov/sites/siteinfo/US-HVa,69.1423,-148.8412,298.0,Dfc,-10.29,217.0,LEGACY,1994,1995
US-HVs,Happy Valley Wet Sedge Tundra,USA,AK,WET,1995,1995,https://ameriflux.lbl.gov/sites/siteinfo/US-HVs,69.1672,-148.8569,320.0,ET,-10.29,217.0,CCBY4.0,1995,1995
US-HWB,USDA ARS Pasture Sytems and Watershed Management Research Unit- Hawbecker Site,USA,PA,CVM,2015,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-HWB,40.8608,-77.8488,378.0,Dfb,10.1,1006.35,CCBY4.0,2015,2018
US-IB1,Fermi National Accelerator Laboratory- Batavia (Agricultural site),USA,IL,CRO,2005,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-IB1,41.8593,-88.2227,226.5,Dfa,9.18,929.23,CCBY4.0,2005,2018
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),USA,IL,GRA,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-IB2,41.8406,-88.241,226.5,Dfa,9.04,930.25,CCBY4.0,2004,2018
US-ICh,Imnavait Creek Watershed Heath Tundra,USA,AK,OSH,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-ICh,68.6068,-149.2958,940.0,ET,-7.4,318.0,CCBY4.0,2007,2021
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,USA,AK,WET,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-ICs,68.6058,-149.311,920.0,ET,-7.4,318.0,CCBY4.0,2007,2022
US-ICt,Imnavait Creek Watershed Tussock Tundra,USA,AK,OSH,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-ICt,68.6063,-149.3041,930.0,ET,-7.4,318.0,CCBY4.0,2007,2022
US-IL1,Paspalum notatum long rotational grazing,USA,FL,GRA,2013,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-IL1,27.1879,-81.1996,14.7,Cfa,22.5,1300.0,CCBY4.0,-2147483648,-2147483648
US-INa,INFLUX - Cemetery Turfgrass Tower,USA,IN,URB,2017,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-INa,39.8273,-86.179,,Cfa,,,CCBY4.0,2017,2019
US-INb,INFLUX - Golf Course,USA,IN,URB,2018,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-INb,39.8706,-86.0024,,Cfa,,,CCBY4.0,2018,2019
US-INc,INFLUX - Downtown Indianapolis (Site-3),USA,IN,URB,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-INc,39.7833,-86.1652,,Cfa,,,CCBY4.0,2020,2023
US-INd,INFLUX - Agricultural Site East near Pittsboro,USA,IN,CRO,2017,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-INd,39.8645,-86.5005,,Cfa,,,CCBY4.0,2017,2018
US-INe,INFLUX - Agricultural Site West near Pittsboro,USA,IN,CRO,2017,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-INe,39.8632,-86.5083,,Cfa,,,CCBY4.0,2017,2019
US-INf,INFLUX - East 21st St (Site 2),USA,IN,URB,2013,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-INf,39.7978,-86.0183,,Cfa,,,CCBY4.0,2013,2013
US-INg,INFLUX - Wayne Twp Comm (Site-7),USA,IN,URB,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-INg,39.7739,-86.2724,,Cfa,,,CCBY4.0,2019,2023
US-INi,INFLUX - Agricultural Site East of Indianapolis (Site-9a),USA,IN,CRO,2019,2022,https://ameriflux.lbl.gov/sites/siteinfo/US-INi,39.8167,-85.7005,,Cfa,,,CCBY4.0,2019,2022
US-INj,INFLUX - Agricultural Site East of Indianapolis (Site-9b),USA,IN,CRO,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-INj,39.8766,-85.7066,,Cfa,,,CCBY4.0,2020,2023
US-INn,INFLUX - Agricultural Site West of Indianapolis (Site-14a),USA,IN,CRO,2019,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-INn,39.9468,-86.788,,Cfa,,,CCBY4.0,2019,2021
US-INp,INFLUX - Agricultural Site West of Indianapolis (Site-14b) ,USA,IN,CRO,2021,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-INp,39.9477,-86.7821,,Cfa,,,CCBY4.0,2020,2021
US-Ivo,Ivotuk,USA,AK,WET,2003,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ivo,68.4865,-155.7503,568.0,ET,-8.28,304.0,LEGACY,2003,2016
US-JLN,Jackson Lane - natural,USA,MD,WET,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-JLN,39.0574,-75.7531,17.0,Cfa,13.1,1120.0,LEGACY,-2147483648,-2147483648
US-JLR,Jackson Lane - restored,USA,MD,WET,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-JLR,39.0543,-75.7531,17.0,Cfa,13.1,1120.0,LEGACY,-2147483648,-2147483648
US-Jo1,Jornada Experimental Range Bajada Site,USA,NM,OSH,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Jo1,32.582,-106.635,1188.0,Bwk,14.7,245.1,CCBY4.0,2010,2020
US-Jo2,Jornada Experimental Range Mixed Shrubland,USA,NM,OSH,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Jo2,32.5849,-106.6032,1469.0,Bwk,17.5,282.3,CCBY4.0,2010,2020
US-Jo3,Jornada Experimental Range Red Lake Playa,USA,NM,BSV,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Jo3,32.7123,-106.8303,,Bwk,14.7,245.1,CCBY4.0,-2147483648,-2147483648
US-JRn,WV Jacks Run,USA,WV,GRA,2017,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-JRn,39.6789,-80.1646,384.048,Cfa,13.2,1095.5,CCBY4.0,2017,2019
US-KCM,KCMP Tall Tower,USA,MN,CRO,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KCM,44.6886,-93.0728,290.0,Dfa,6.4,879.0,LEGACY,-2147483648,-2147483648
US-KFB,Konza Prairie LTER (4B),USA,KS,GRA,2006,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KFB,39.0745,-96.5951,330.0,Cfa,12.77,867.0,CCBY4.0,-2147483648,-2147483648
US-KFS,Kansas Field Station,USA,KS,GRA,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KFS,39.0561,-95.1907,310.0,Cfa,12.0,1014.0,CCBY4.0,2007,2019
US-KGF,Kingman Farm,USA,NH,GRA,2014,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-KGF,43.1717,-70.9259,35.0,Dfb,8.9,1170.0,LEGACY,-2147483648,-2147483648
US-KL1,KBS Lux Arbor Reserve Corn,USA,MI,CRO,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KL1,42.4847,-85.4422,264.6,Dfa,9.9,1027.0,CCBY4.0,2009,2021
US-KL2,KBS Lux Arbor Reserve Switchgrass,USA,MI,GRA,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KL2,42.4768,-85.4468,258.3,Dfa,9.9,1027.0,CCBY4.0,2009,2021
US-KL3,KBS Lux Arbor Reserve Prairie,USA,MI,GRA,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KL3,42.4735,-85.4473,264.7,Dfa,9.9,1027.0,CCBY4.0,2009,2021
US-KLS,Kansas Land Institute,USA,KS,GRA,2012,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KLS,38.7745,-97.5684,373.0,Cfa,12.0,812.0,CCBY4.0,2012,2019
US-KM1,KBS Marshall Farms Corn,USA,MI,CRO,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KM1,42.4376,-85.3287,258.1,Dfa,9.9,1027.0,CCBY4.0,2009,2021
US-KM2,KBS Marshall Farms Prairie,USA,MI,GRA,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KM2,42.4441,-85.3098,259.1,Dfa,9.9,1027.0,CCBY4.0,2009,2021
US-KM3,KBS Marshall Farms Switchgrass,USA,MI,GRA,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KM3,42.4464,-85.3105,262.1,Dfa,9.9,1027.0,CCBY4.0,2009,2021
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),USA,MI,GRA,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KM4,42.4423,-85.3301,246.3,Dfa,9.9,1027.0,CCBY4.0,2009,2021
US-Kon,Konza Prairie LTER (KNZ),USA,KS,GRA,2006,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Kon,39.0824,-96.5603,417.0,Cfa,12.77,867.0,CCBY4.0,2004,2019
US-KPL,Lily Lake Fen,USA,AK,WET,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KPL,60.5382,-150.5061,100.6,Dfc,1.76,375.8,CCBY4.0,2021,2022
US-KS1,Kennedy Space Center (slash pine),USA,FL,ENF,2002,2006,https://ameriflux.lbl.gov/sites/siteinfo/US-KS1,28.4583,-80.6709,1.0,Cwa,21.9,1266.0,CCBY4.0,2002,2003
US-KS2,Kennedy Space Center (scrub oak),USA,FL,CSH,2000,2007,https://ameriflux.lbl.gov/sites/siteinfo/US-KS2,28.6086,-80.6715,3.0,Cwa,21.66,1294.0,CCBY4.0,1999,2006
US-KS3,Kennedy Space Center (salt marsh),USA,FL,WET,2017,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-KS3,28.7084,-80.7427,0.0,Cfa,22.3,1340.0,CCBY4.0,2018,2019
US-KS4,Kennedy Space Center (Spartina marsh),USA,FL,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-KS4,28.6,-80.7207,0.5,Cwa,22.3,1340.0,LEGACY,2017,2022
US-KUO,KUOM tower,USA,MN,URB,2006,2009,https://ameriflux.lbl.gov/sites/siteinfo/US-KUO,44.9984,-93.1884,301.0,Dfa,7.9,777.0,CCBY4.0,-2147483648,-2147483648
US-KUT,KUOM Turfgrass Field,USA,MN,GRA,2005,2009,https://ameriflux.lbl.gov/sites/siteinfo/US-KUT,44.995,-93.1863,301.0,Dfa,7.9,777.0,CCBY4.0,2005,2009
US-Kyv,Apple Orchard ARS Kearneysville WV,USA,WV,CRO,NA_character_,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Kyv,39.3447,-77.8859,185.0,Cfa,11.78,964.0,CCBY4.0,-2147483648,-2147483648
US-LA1,Pointe-aux-Chenes Brackish Marsh,USA,LA,WET,2011,2012,https://ameriflux.lbl.gov/sites/siteinfo/US-LA1,29.5013,-90.4449,0.0,Cfa,20.7,1625.0,CCBY4.0,2011,2012
US-LA2,Salvador WMA Freshwater Marsh,USA,LA,WET,2011,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-LA2,29.8587,-90.2869,0.0,Cfa,20.2,1655.0,CCBY4.0,2011,2022
US-LA3,Barataria Bay Saline Marsh,USA,LA,WET,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-LA3,29.4936,-89.9153,0.2,Cfa,20.9,1623.0,CCBY4.0,2019,2022
US-LGr,Lockney Grassland,USA,TX,GRA,2013,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-LGr,34.1377,-101.4787,1026.0,Bsh,15.0,450.0,LEGACY,-2147483648,-2147483648
US-Lin,Lindcove Orange Orchard,USA,CA,CRO,2009,2010,https://ameriflux.lbl.gov/sites/siteinfo/US-Lin,36.3566,-119.0922,131.0,NA_character_,,,CCBY4.0,2009,2010
US-LL1,Longleaf Pine - Baker (Mesic site),USA,GA,SAV,2008,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-LL1,31.2792,-84.5329,165.0,Cfa,20.0,1310.0,CCBY4.0,2009,2020
US-LL2,Longleaf Pine - Dubignion (Intermediate site),USA,GA,SAV,2008,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-LL2,31.201,-84.4449,155.0,Cfa,20.0,1310.0,CCBY4.0,2009,2017
US-LL3,Longleaf Pine - Red Dirt (Xeric site),USA,GA,SAV,2008,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-LL3,31.2688,-84.4787,159.5,Cfa,20.0,1310.0,CCBY4.0,2009,2017
US-Los,Lost Creek,USA,WI,WET,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Los,46.0827,-89.9792,480.0,Dfb,4.08,828.0,CCBY4.0,2000,2024
US-LPH,Little Prospect Hill,USA,MA,DBF,2002,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-LPH,42.5419,-72.185,377.5,Dfb,6.73,1071.0,LEGACY,2002,2005
US-LS1,San Pedro River Lewis Springs Sacaton Grassland,USA,AZ,GRA,2003,2007,https://ameriflux.lbl.gov/sites/siteinfo/US-LS1,31.5615,-110.1403,1230.0,Bwh,17.0,288.0,CCBY4.0,2002,2007
US-LS2,San Pedro River Lewis Springs Savanna,USA,AZ,SAV,2003,2007,https://ameriflux.lbl.gov/sites/siteinfo/US-LS2,31.5659,-110.1344,1240.0,Bwh,17.0,288.0,CCBY4.0,2002,2007
US-LU1,Missouri-Moreau River Basin USDA Certified Organic Farm,USA,MO,CVM,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-LU1,38.5048,-92.2487,187.0,Cfa,13.5,973.0,CCBY4.0,-2147483648,-2147483648
US-LWW,Little Washita Watershed,USA,OK,GRA,1997,1998,https://ameriflux.lbl.gov/sites/siteinfo/US-LWW,34.9604,-97.9789,365.0,Cfa,16.09,805.12,LEGACY,1997,1998
US-MAC,MacArthur Agro-Ecology,USA,FL,WET,2013,2015,https://ameriflux.lbl.gov/sites/siteinfo/US-MAC,27.1632,-81.1873,,Cwa,,,LEGACY,-2147483648,-2147483648
US-MBP,Marcell Bog Lake Peatland,USA,MN,WET,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MBP,47.5051,-93.4893,416.0,NA_character_,3.4,780.0,CCBY4.0,2009,2022
US-MC1,"Creston, Montana pivot-irrigated spring wheat",USA,MT,CRO,2015,2015,https://ameriflux.lbl.gov/sites/siteinfo/US-MC1,48.1873,-114.1548,900.0,Dfb,6.25,432.0,CCBY4.0,2015,2015
US-MC2,"Creston, Montana pivot-irrigated spring wheat 2",USA,MT,CRO,2016,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-MC2,48.1802,-114.2051,900.0,Dfb,6.25,432.0,CCBY4.0,2016,2016
US-MCP,"Moro Cojo Slough, PG&E Treatment Wetland",USA,CA,WET,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MCP,36.783,-121.769,0.0,Cfc,10.0,894.0,CCBY4.0,-2147483648,-2147483648
US-Me1,Metolius - Eyerly burn,USA,OR,ENF,2004,2005,https://ameriflux.lbl.gov/sites/siteinfo/US-Me1,44.5794,-121.5,896.0,Csb,7.88,704.61,CCBY4.0,2004,2005
US-Me2,Metolius mature ponderosa pine,USA,OR,ENF,2002,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Me2,44.4526,-121.5589,1253.0,Csb,6.28,523.0,CCBY4.0,2002,2023
US-Me3,Metolius-second young aged pine,USA,OR,ENF,2004,2009,https://ameriflux.lbl.gov/sites/siteinfo/US-Me3,44.3154,-121.6078,1005.0,Csb,7.07,719.0,CCBY4.0,2004,2009
US-Me4,Metolius-old aged ponderosa pine,USA,OR,ENF,1996,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Me4,44.4992,-121.6224,922.0,Csb,7.61,1038.82,CCBY4.0,1996,2000
US-Me5,Metolius-first young aged pine,USA,OR,ENF,2000,2002,https://ameriflux.lbl.gov/sites/siteinfo/US-Me5,44.4372,-121.5668,1188.0,Csb,6.47,590.81,CCBY4.0,1999,2002
US-Me6,Metolius Young Pine Burn,USA,OR,ENF,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Me6,44.3233,-121.6078,998.0,Csb,7.59,494.0,CCBY4.0,2010,2022
US-Me7,Metolius Low Burn Severity Subcanopy,USA,OR,ENF,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Me7,44.4534,-121.5619,1253.0,Csb,6.28,523.0,CCBY4.0,2022,2023
US-Men,"Lake Mendota, Center for Limnology Site",USA,WI,WAT,2012,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-Men,43.0772,-89.403,260.0,Dfa,7.94,875.0,CCBY4.0,2012,2018
US-MFs,Moore Fields,USA,NH,CRO,2014,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-MFs,43.1385,-70.961,20.0,Dfb,8.9,1170.0,LEGACY,-2147483648,-2147483648
US-MG1,MPG Ranch Rangeland Restoration,USA,MT,GRA,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MG1,46.6996,-114.0353,1043.0,Dwb,7.06,317.8,CCBY4.0,-2147483648,-2147483648
US-MH1,"Huntley, Montana irrigated barley site 1",USA,MT,CRO,2015,2015,https://ameriflux.lbl.gov/sites/siteinfo/US-MH1,45.9206,-108.2414,919.6,Bsk,8.9,347.0,CCBY4.0,2015,2015
US-MH2,"Huntley, Montana irrigated barley site 2",USA,MT,CRO,2016,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-MH2,45.9699,-108.1978,891.0,Bsk,8.9,347.0,CCBY4.0,2016,2016
US-Mi1,LTAR UCB (Upper Chesapeake Bay) Miscanthus 1,USA,OH,CVM,2015,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-Mi1,41.7727,-80.6313,290.0,Dfb,10.5,1012.7,CCBY4.0,2015,2019
US-Mi2,LTAR UCB (Upper Chesapeake Bay) Miscanthus 2,USA,OH,CVM,2015,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-Mi2,41.5479,-80.855,280.0,Dfb,10.5,1012.7,CCBY4.0,2015,2017
US-Mi3,LTAR UCB (Upper Chesapeake Bay) Miscanthus 3,USA,OH,CVM,2015,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-Mi3,41.8222,-80.637,270.0,Dfb,10.5,1012.7,CCBY4.0,2015,2019
US-Mj1,Montana Judith Basin wheat field,USA,MT,CRO,2013,2014,https://ameriflux.lbl.gov/sites/siteinfo/US-Mj1,46.9948,-109.6137,1285.0,Bsk,6.6,388.0,CCBY4.0,2013,2014
US-Mj2,Montana Judith Basin summer fallow field,USA,MT,CRO,2014,2014,https://ameriflux.lbl.gov/sites/siteinfo/US-Mj2,46.9957,-109.6295,1277.0,Bsk,6.6,388.0,CCBY4.0,2014,2014
US-MMS,Morgan Monroe State Forest,USA,IN,DBF,1999,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MMS,39.3232,-86.4131,275.0,Cfa,10.85,1032.0,CCBY4.0,1999,2023
US-MN1,"Morris: Corn-Soybean with Cover Crops, Strip Tillage",USA,MN,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MN1,45.6168,-96.1269,339.0,Dwb,5.7,684.5,CCBY4.0,-2147483648,-2147483648
US-MN2,"Morris: Corn-Soybean-Wheat with Cover Crops, Minimal Tillage",USA,MN,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MN2,45.627,-96.1271,339.0,Dwb,5.7,684.5,CCBY4.0,-2147483648,-2147483648
US-MN3,"Morris: Corn-Soybean, Conventional Tillage",USA,MN,CRO,2020,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MN3,45.6091,-96.1265,339.0,Dwb,5.7,684.5,CCBY4.0,-2147483648,-2147483648
US-Mo1,LTAR CMRB Field 1 (CMRB ASP),USA,MO,CRO,2015,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Mo1,39.2298,-92.1167,260.0,Cfa,12.0,981.0,CCBY4.0,2015,2023
US-Mo2,LTAR CMRB Tucker Prairie (CMRB TP),USA,MO,GRA,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Mo2,38.9488,-91.9945,275.0,Cfa,12.0,981.0,CCBY4.0,2018,2023
US-Mo3,LTAR CMRB Field 3 (CMRB BAU),USA,MO,CRO,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Mo3,39.2322,-92.1493,261.0,Cfa,12.0,981.0,CCBY4.0,2016,2023
US-MOz,Missouri Ozark Site,USA,MO,DBF,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MOz,38.7441,-92.2,219.4,Cfa,12.11,986.0,CCBY4.0,2004,2021
US-Mpj,Mountainair Pinyon-Juniper Woodland,USA,NM,WSA,2007,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Mpj,34.4385,-106.2377,2196.0,Bsk,10.5,385.0,CCBY4.0,2008,2023
US-MRf,Mary's River (Fir) site,USA,OR,ENF,2006,2011,https://ameriflux.lbl.gov/sites/siteinfo/US-MRf,44.6465,-123.5515,263.0,Csb,10.24,1819.59,LEGACY,2006,2011
US-MRM,Marsh Resource Meadowlands Mitigation Bank,USA,NJ,WET,2009,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-MRM,40.8164,-74.0435,1.0,Cfa,13.5,1120.0,LEGACY,-2147483648,-2147483648
US-MSR,Montana Sun River winter wheat ,USA,MT,CRO,2016,2016,https://ameriflux.lbl.gov/sites/siteinfo/US-MSR,47.4758,-111.7207,1110.0,Bsk,7.0,374.0,CCBY4.0,2016,2016
US-MtB,Mt Bigelow,USA,AZ,ENF,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MtB,32.416,-110.7256,2573.0,Dwb,9.3,790.0,CCBY4.0,2009,2021
US-MVF,Montana Vaughn Fallow,USA,MT,CRO,2017,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-MVF,47.6867,-111.4659,1128.0,Bsk,7.0,374.0,CCBY4.0,2017,2017
US-MVW,Montana Vaughn Wheat,USA,MT,CRO,2017,2017,https://ameriflux.lbl.gov/sites/siteinfo/US-MVW,47.6729,-111.4889,1134.0,Bsk,7.0,374.0,CCBY4.0,2017,2017
US-MWA,Jackson Agricultural Field,USA,MI,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MWA,42.2143,-84.8539,290.0,Dfa,9.11,800.0,LEGACY,2018,2021
US-MWF,Kellogg Experimental Forest,USA,MI,MF,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-MWF,42.366,-85.3526,256.0,Dfa,9.0,842.0,LEGACY,2018,2021
