SITE_ID,SITE_NAME,COUNTRY,STATE,IGBP,TOWER_BEGAN,TOWER_END,URL_AMERIFLUX,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,CLIMATE_KOEPPEN,MAT,MAP,DATA_POLICY,DATA_START,DATA_END
US-BZL,Goldstream Valley Thermokarst Lake,USA,AK,WET,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-BZL,64.9194,-147.8222,188.0,Dfd,-2.4,274.0,CCBY4.0,-2147483648,-2147483648
US-BZo,Bonanza Creek Old Thermokarst Bog,USA,AK,WET,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-BZo,64.6936,-148.33,100.0,Dfd,-2.4,274.0,CCBY4.0,2018,2022
US-BZS,Bonanza Creek Black Spruce,USA,AK,ENF,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-BZS,64.6963,-148.3235,100.0,Dfd,-2.4,274.0,CCBY4.0,2010,2021
US-CaV,Canaan Valley,USA,WV,GRA,2004,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CaV,39.0633,-79.4208,994.0,Cfb,7.97,1317.0,LEGACY,2004,2010
US-CC1,Coloma Corn 1,USA,WI,CRO,2021,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-CC1,44.0732,-89.6787,314.0,Dfb,7.5,906.5,CCBY4.0,2021,2021
US-CC2,Coloma Corn 2,USA,WI,CRO,2021,2021,https://ameriflux.lbl.gov/sites/siteinfo/US-CC2,44.1039,-89.6196,320.0,Dfb,7.5,906.5,CCBY4.0,2021,2021
US-CdM,Cedar Mesa,USA,UT,WSA,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CdM,37.5241,-109.7471,1860.0,Bsk,11.3,348.0,CCBY4.0,2019,2021
US-Ced,Cedar Bridge,USA,NJ,CSH,2005,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Ced,39.8379,-74.3791,58.0,Cfa,11.04,1138.0,CCBY4.0,2005,2014
US-CF1,CAF-LTAR Cook East,USA,WA,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CF1,46.7815,-117.0821,794.0,Dsb,9.0,550.0,CCBY4.0,2017,2021
US-CF2,CAF-LTAR Cook West,USA,WA,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CF2,46.784,-117.0908,807.0,Dsb,9.0,550.0,CCBY4.0,2017,2021
US-CF3,CAF-LTAR Boyd North,USA,WA,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CF3,46.7551,-117.1261,795.0,Dsb,9.0,550.0,CCBY4.0,2017,2021
US-CF4,CAF-LTAR Boyd South,USA,WA,CRO,2017,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CF4,46.7518,-117.1285,795.0,Dsb,9.0,550.0,CCBY4.0,2017,2021
US-CGG,Concord Grazed Grassland,USA,CA,GRA,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CGG,37.938,-121.9761,119.5,Csa,16.0,419.0,CCBY4.0,2019,2022
US-ChR,Chestnut Ridge,USA,TN,DBF,2005,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-ChR,35.9311,-84.3324,286.0,Cfa,13.91,1358.85,LEGACY,2005,2010
US-CLF,Cole Farm,USA,PA,CVM,2017,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-CLF,40.6366,-77.9424,244.0,Dfb,9.5,1050.0,CCBY4.0,2017,2020
US-Cms,Central Marsh,USA,AK,WET,1999,2005,https://ameriflux.lbl.gov/sites/siteinfo/US-Cms,71.3202,-156.6223,6.0,ET,-12.6,274.0,CCBY4.0,1999,2000
US-CMW,Charleston Mesquite Woodland,USA,AZ,DBF,2001,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CMW,31.6637,-110.1777,1199.0,Bsh,17.0,288.0,CCBY4.0,2000,2021
US-Cop,Corral Pocket,USA,UT,GRA,2001,2007,https://ameriflux.lbl.gov/sites/siteinfo/US-Cop,38.09,-109.39,1520.0,NA_character_,,,CCBY4.0,2001,2007
US-CPk,Chimney Park,USA,WY,ENF,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CPk,41.068,-106.1187,2750.0,Dfc,6.1,545.0,CCBY4.0,2009,2013
US-CRK,Davy Crockett National Forest,USA,TX,ENF,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CRK,31.4629,-95.3415,151.0,Cfa,19.0,1148.0,CCBY4.0,2022,2023
US-CRT,Curtice Walter-Berger cropland,USA,OH,CRO,2011,2013,https://ameriflux.lbl.gov/sites/siteinfo/US-CRT,41.6285,-83.3471,180.0,Dfa,10.1,849.0,CCBY4.0,2011,2013
US-CS1,Central Sands Irrigated Agricultural Field,USA,WI,CRO,2018,2019,https://ameriflux.lbl.gov/sites/siteinfo/US-CS1,44.1031,-89.5379,328.0,Dfa,7.0,830.0,CCBY4.0,2018,2019
US-CS2,Tri county school Pine Forest,USA,WI,ENF,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CS2,44.1467,-89.5002,328.0,Dfa,7.0,830.0,CCBY4.0,2018,2022
US-CS3,Central Sands Irrigated Agricultural Field,USA,WI,CRO,2019,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CS3,44.1394,-89.5727,328.0,Dfa,7.0,830.0,CCBY4.0,2019,2020
US-CS4,Central Sands Irrigated Agricultural Field,USA,WI,CRO,2020,2020,https://ameriflux.lbl.gov/sites/siteinfo/US-CS4,44.1597,-89.5475,328.0,Dfa,7.0,830.0,CCBY4.0,2020,2021
US-CS5,Central Sands Irrigated Agricultural Field,USA,WI,CRO,2021,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CS5,44.1095,-89.5377,328.0,Dfa,7.0,830.0,CCBY4.0,2021,2021
US-CS6,Central Sands Irrigated Agricultural Field,USA,WI,CRO,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CS6,44.4297,-89.544,328.0,Dfa,7.0,830.0,CCBY4.0,2022,2023
US-CS7,Central Sands Forest,USA,WI,ENF,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CS7,44.4375,-89.5443,328.0,Dfa,7.0,830.0,CCBY4.0,-2147483648,-2147483648
US-CS8,Central Sands Irrigated Agricultural Field,USA,WI,CRO,2023,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CS8,44.4338,-89.5364,328.0,Dfa,7.0,830.0,CCBY4.0,2023,2023
US-Cst,Crossett Experimental Forest,USA,AR,ENF,2012,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Cst,33.0442,-91.9204,50.0,Cfa,17.4,1410.0,CCBY4.0,2013,2017
US-Ctn,Cottonwood,USA,SD,GRA,2007,2009,https://ameriflux.lbl.gov/sites/siteinfo/US-Ctn,43.95,-101.8466,744.0,NA_character_,,,LEGACY,2006,2009
US-CwG,Coweeta Grassland,USA,GA,GRA,2017,2018,https://ameriflux.lbl.gov/sites/siteinfo/US-CwG,34.9682,-83.3951,657.0,Dfb,12.9,1495.0,CCBY4.0,-2147483648,-2147483648
US-Cwt,Coweeta,USA,NC,DBF,2011,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Cwt,35.0592,-83.4275,690.0,Dfb,13.0,1800.0,CCBY4.0,2011,2015
US-CX1,"Central Plains Experimental Range 1, Nunn, Colorado",USA,CO,GRA,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CX1,40.833,-104.76,1600.0,NA_character_,8.4,340.0,LEGACY,-2147483648,-2147483648
US-CX2,"Central Plains Experimental Range 2, Nunn, Colorado",USA,CO,GRA,2016,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CX2,40.8402,-104.7672,1600.0,NA_character_,8.4,340.0,LEGACY,-2147483648,-2147483648
US-CZ1,"Sierra Critical Zone, Sierra Transect, Oak/Pine Woodland, San Joaquin Experimental Range",USA,CA,SAV,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CZ1,37.1088,-119.7313,400.0,NA_character_,,,LEGACY,-2147483648,-2147483648
US-CZ2,"Sierra Critical Zone, Sierra Transect, Ponderosa Pine Forest, Soaproot Saddle",USA,CA,ENF,2010,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CZ2,37.0311,-119.2566,1160.0,NA_character_,,,LEGACY,2010,2016
US-CZ3,"Sierra Critical Zone, Sierra Transect, Sierran Mixed Conifer, P301",USA,CA,ENF,2008,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CZ3,37.0674,-119.1951,2015.0,NA_character_,,,LEGACY,2008,2016
US-CZ4,"Sierra Critical Zone, Sierra Transect, Subalpine Forest, Shorthair",USA,CA,ENF,2009,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-CZ4,37.0675,-118.9867,2710.0,NA_character_,,,LEGACY,2009,2016
US-DBk,Berkeley Way West,USA,CA,URB,2022,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-DBk,37.8736,-122.2684,,Csa,,,CCBY4.0,-2147483648,-2147483648
US-DCS,Dwarf Cypress Swamp,USA,FL,WET,2012,2014,https://ameriflux.lbl.gov/sites/siteinfo/US-DCS,25.7626,-80.9078,2.05,Cwa,23.1,1312.0,CCBY4.0,-2147483648,-2147483648
US-Dea,California UC ANR Desert Research and Extension Center Alfalfa,USA,CA,CRO,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Dea,32.8136,-115.4423,-53.0,Dsa,20.5,131.0,LEGACY,-2147483648,-2147483648
US-Deu,California UC ANR Desert Research and Extension Center Urban Farm Tower,USA,CA,URB,2014,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-Deu,32.8056,-115.4456,-53.0,Dsa,20.5,131.0,LEGACY,-2147483648,-2147483648
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",USA,WI,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-DFC,43.3448,-89.7117,264.9,Dfb,7.65,787.0,CCBY4.0,2018,2022
US-DFK,Dairy Forage Research Center - Kernza,USA,WI,CRO,2018,NA_character_,https://ameriflux.lbl.gov/sites/siteinfo/US-DFK,43.3453,-89.7154,210.0,Dfb,7.65,787.0,CCBY4.0,2018,2021
US-Dia,Diablo,USA,CA,GRA,2010,2015,https://ameriflux.lbl.gov/sites/siteinfo/US-Dia,37.6773,-121.5296,323.0,Csa,15.6,265.0,CCBY4.0,2010,2012
